No.;NIT;RAZON SOCIAL;SUPERVISOR;REGIÓN;DEPARTAMENTO DOMICILIO;CIUDAD DOMICILIO;CIIU;MACROSECTOR;"INGRESOS OPERACIONALES
2018*";GANANCIA (PERDIDA) 2018;TOTAL ACTIVOS 2018;TOTAL PASIVOS 2018;TOTAL PATRIMONIO 2018;"INGRESOS OPERACIONALES
2017*";GANANCIA (PERDIDA) 2017;TOTAL ACTIVOS 2017;TOTAL PASIVOS 2017;TOTAL PATRIMONIO 2017;GRUPO EN NIIF
1;860003563;ABB LTDA;3;1;2;7;71;4;3571775290.0;-58725480.0;2956848280.0;2476739360.0;480108920.0;4005048860.0;-87529000.0;2875459550.0;2341172480.0;534287070.0;0
2;900138670;C.I BIOCOSTA S.A;3;3;14;62;99;1;6018901940.0;35049440.0;1207011140.0;1031423810.0;175587330.0;4994552450.0;10837770.0;1020831970.0;894986480.0;125845490.0;0
3;890302629;CONSTRUCTORA MELENDEZ S.A.;3;4;24;12;90;3;1739284020.0;17351050.0;3030766680.0;2163543620.0;867223060.0;1039942430.0;-38772470.0;2615650250.0;1748991200.0;866659050.0;0
4;811004055;EMDISALUD;1;3;10;46;181;6;40338871012.0;-30165816569.0;9908133414.0;49508606428.0;-39600473014.0;36965284636.0;-10862269242.0;9807866502.0;19246633716.0;-9438767214.0;1
5;890503314;CERAMICA ITALIA SA;3;2;17;22;61;4;1419514010.0;4582130.0;1498588040.0;497131270.0;1001456770.0;1360935380.0;32504600.0;1509245600.0;490200920.0;1019044680.0;1
6;830024974;NATURA COSMETICOS LTDA;3;1;2;7;106;1;3095478260.0;209150040.0;1305191090.0;649628000.0;655563090.0;2756663020.0;71962150.0;1022643350.0;576230300.0;446413050.0;0
7;860001963;PROTELA S.A.;3;1;2;7;33;4;1668109670.0;-5394050.0;3647096110.0;1506110870.0;2140985240.0;1515931110.0;-83851100.0;3633766970.0;1488227100.0;2145539870.0;0
8;860002590;BRENNTAG COLOMBIA SA;3;1;2;7;113;1;4921344140.0;45845560.0;3743612630.0;2776571160.0;967041470.0;4519507100.0;33577840.0;2709724080.0;1788522030.0;921202050.0;0
9;890700058;UNION DE ARROCEROS S.A.S.;3;1;11;21;19;4;2177462620.0;30256560.0;1712223220.0;1180435530.0;531787690.0;2471574950.0;13067880.0;1638273320.0;1148579840.0;489693480.0;1
10;830021253;CROWN COLOMBIANA S.A.;3;1;11;71;70;4;3282077540.0;300508500.0;2856940410.0;1537493940.0;1319446470.0;2732146040.0;225281310.0;2238047720.0;1220078000.0;1017969720.0;0
11;860058070;CONSTRUCTORA COLPATRIA SA;3;1;2;7;90;3;7786920450.0;203415040.0;20743602130.0;12987818550.0;7755783580.0;7125934400.0;660388910.0;19284933870.0;11868402020.0;7416531850.0;0
12;900744408;EXITO INDUSTRIAS SAS;3;0;0;25;36;4;2522432800.0;148205930.0;2489713330.0;929194360.0;1560518970.0;3482870590.0;173138510.0;2936366610.0;1490127830.0;1446238780.0;0
13;840000922;C.I. TOP S.A.;3;4;24;12;99;1;3216825140.0;5526950.0;297041390.0;258182820.0;38858570.0;3785068320.0;11740900.0;243737610.0;208926210.0;34811400.0;1
14;890110188;"""""""INDEPENDENCE DRILLING S.A.
""""
""";3;1;2;7;12;5;4100618110.0;191872740.0;7065294920.0;4776841100.0;2288453820.0;3224368520.0;147307230.0;6069633250.0;4316045060.0;1753588190.0;0
15;860505170;MEGALINEA S.A;3;1;2;7;180;6;1446623490.0;5013930.0;227432160.0;182109480.0;45322680.0;1416054970.0;1458340.0;231378960.0;189425370.0;41953590.0;0
16;890900535;KELLOGG DE COLOMBIA SA;3;1;2;7;27;4;1753496180.0;52055110.0;1300112160.0;542427670.0;757684490.0;1869579990.0;43015840.0;1375105280.0;669475900.0;705629380.0;0
17;891903333;CARCAFE LTDA;3;1;2;7;21;4;6596831540.0;-17863700.0;2369988050.0;1864301820.0;505686230.0;7584596270.0;15132520.0;2401050540.0;1918434540.0;482616000.0;0
18;800141770;CI ACEPALMA SA;3;1;2;7;100;1;7855926750.0;80017980.0;3041172040.0;2561574850.0;479597190.0;8825980040.0;86518220.0;2829787110.0;2333322790.0;496464320.0;0
19;830001637;SONDA DE COLOMBIA S.A;3;1;2;7;152;6;1486692050.0;-927980.0;2129955650.0;836724150.0;1293231500.0;1582038020.0;-14405510.0;2009421350.0;951251550.0;1058169800.0;0
20;860051812;Halliburton Latin America S.R.L. Sucursal Colombia;3;1;2;7;12;5;7903362940.0;-35424700.0;7105971210.0;1571833340.0;5534137870.0;5692605420.0;-441496390.0;5022937780.0;1023405150.0;3999532630.0;0
21;900777972;CI TRAFIGURA COAL COLOMBIA SAS;3;1;2;7;110;1;4259935230.0;-2358270.0;1335009710.0;1332383760.0;2625950.0;3231282290.0;532860.0;686288240.0;681304020.0;4984220.0;1
22;830009783;CRUZ BLANCA EPS S.A.;1;1;2;7;181;6;49075012081.0;-2812116864.0;14783210061.0;44153391962.0;-29370181901.0;51997483682.0;-28324706139.0;11791705374.0;38349940311.0;-26558234937.0;1
23;800015583;COLSOF S.A.;3;1;11;21;123;1;1690356470.0;36833020.0;762903590.0;464925530.0;297978060.0;1348985250.0;22976240.0;841107540.0;599440830.0;241666710.0;1
24;860000006;TEAM FOODS COLOMBIA SA;3;1;2;7;17;4;7050697290.0;329281410.0;6378871090.0;4173670230.0;2205200860.0;7755923040.0;315641150.0;6311523480.0;4236940160.0;2074583320.0;0
25;900207065;IBEROMODA SAS;3;1;11;16;128;1;1464431400.0;32116790.0;588405590.0;515287320.0;73118270.0;1442920620.0;61861590.0;724410630.0;618887030.0;105523600.0;0
26;860020309;BECTON DICKINSON DE COLOMBIA LTDA;3;1;11;21;113;1;1529607470.0;51967990.0;1207395200.0;578709130.0;628686070.0;1411622580.0;39422620.0;1062281750.0;468826610.0;593455140.0;0
27;890101176;MEICO SA;3;3;1;5;102;1;2910661520.0;35664890.0;1540443630.0;1252930100.0;287513530.0;2728601570.0;18941640.0;1394480880.0;1136653610.0;257827270.0;0
28;860350234;BRINKS DE COLOMBIA SA;4;1;2;7;176;6;28340399675.0;1446479985.0;16813870328.0;7946074401.0;8867795927.0;2558462830.0;180275160.0;1458449960.0;542103700.0;916346260.0;0
29;860032550;ALFAGRES S.A.;3;1;2;7;61;4;3680327900.0;-387687110.0;4680418240.0;2223295350.0;2457122890.0;4255400370.0;-278593650.0;4988758090.0;2143948090.0;2844810000.0;0
30;890900266;GRUPO ARGOS S.A.;0;0;0;45;161;4;14223720000.0;8116760000.0;179464000000.0;19704680000.0;159759000000.0;11961820000.0;4528410000.0;175236000000.0;19784070000.0;155451000000.0;0
31;890333023;SIDERURGICA DEL OCCIDENTE SAS SIDOC SAS;3;4;24;79;65;4;4855472300.0;287315800.0;3149127800.0;2162042710.0;987085090.0;3766142630.0;126778690.0;3033229170.0;2020713080.0;1012516090.0;1
32;890107487;SUPERTIENDAS Y DROGUERIAS OLIMPICA S.A;3;3;1;5;117;1;61582071110.0;825946940.0;39924501010.0;26464436580.0;13460064430.0;58179940630.0;1229630970.0;38092637580.0;24164816730.0;13927820850.0;0
33;860001022;Casa Editorial El Tiempo S.A.;3;1;2;7;168;6;3398355330.0;-310622330.0;5455207710.0;2562088390.0;2893119320.0;3691228330.0;-64124560.0;5411056810.0;2381848640.0;3029208170.0;0
34;830012053;URBANIZADORA MARIN VALENCIA S.A.;3;1;2;7;90;3;3757882230.0;110939010.0;10289406050.0;5583217710.0;4706188340.0;3292396150.0;402001330.0;10216028230.0;5555848680.0;4660179550.0;0
35;900691280;NITRO ENERGY COLOMBIA SAS E.S.P;3;0;0;45;85;6;1404437820.0;50288680.0;719505880.0;566323280.0;153182600.0;180815550.0;9668800.0;246655150.0;135059400.0;111595750.0;1
36;800206842;BAKER HUGHES DE COLOMBIA;3;1;2;7;12;5;5158458800.0;135243490.0;3366724410.0;1177679190.0;2189045220.0;3869333340.0;150124290.0;2741693350.0;838450260.0;1903243090.0;0
37;891300241;MANUELITA S.A.;3;4;24;49;23;4;5812254070.0;258668820.0;12550922540.0;6301686090.0;6249236450.0;6593962470.0;283139840.0;11804178210.0;5430386610.0;6373791600.0;0
38;892115006;CCF DE LA GUAJIRA;1;3;12;57;183;6;20129753483.0;-2726037223.0;2580313967.0;5910319315.0;-3330005348.0;17292394914.0;557190858.0;2881316203.0;290425417.0;-22937967.0;1
39;800200336;MAKRO COMPUTO SA;3;1;11;21;107;1;1959995970.0;-227177970.0;929018320.0;976784580.0;-47766260.0;2466330150.0;5365950.0;1146134670.0;966715660.0;179419010.0;0
40;830050346;NESTLE PURINA PET CARE DE COLOMBIA  SA;3;1;2;7;28;4;2443900000.0;145170000.0;2427960000.0;1978230000.0;449730000.0;2612650000.0;154550000.0;2130460000.0;1671360000.0;459100000.0;0
42;890100251;CEMENTOS ARGOS S.A;0;3;1;5;63;4;19863390000.0;1785060000.0;137992000000.0;53410700000.0;84581390000.0;17140440000.0;-108070000.0;133739000000.0;50366350000.0;83372480000.0;0
43;900851362;LABRANZA DE LA CEIBA SAS;3;1;2;7;163;6;1953260010.0;1749424350.0;2308932630.0;566370960.0;1742561670.0;0.0;-6867800.0;353895600.0;360758280.0;-6862680.0;1
44;860000580;MERCK S.A.;3;1;2;7;106;1;3838962360.0;1190960340.0;2652462660.0;502814010.0;2149648650.0;2921711400.0;245744300.0;1417497380.0;454919040.0;962578340.0;0
45;860032463;PERENCO COLOMBIA LIMITED;3;1;2;7;6;5;2607446410.0;154443110.0;4241990260.0;2825206920.0;1416783340.0;2115571810.0;-77428950.0;3967679710.0;2821792660.0;1145887050.0;0
46;890900085;LOCERIA COLOMBIANA S.A.S.;3;0;0;11;62;4;1446330250.0;81642840.0;1362243710.0;707092240.0;655151470.0;1309956800.0;14492940.0;1238698480.0;656845840.0;581852640.0;0
47;900150942;AGROINDUSTRIAS DEL CAUCA SA;3;4;7;33;23;4;1488538400.0;92464510.0;3086749420.0;707780110.0;2378969310.0;1859870240.0;137271510.0;2752434860.0;450103770.0;2302331090.0;0
48;890204814;MANUFACTURAS Y PROCESOS INDUSTRIALES LTDA;3;2;21;27;46;4;1524904410.0;52479830.0;852975650.0;601928520.0;251047130.0;1242613110.0;13849600.0;857934550.0;595433380.0;262501170.0;0
49;860054249;REPRESENTACIONES CONTINENTAL SAS;3;1;2;7;102;1;2160909030.0;121002420.0;2443208240.0;1763453020.0;679755220.0;2123339040.0;134794690.0;2474215530.0;1780668040.0;693547490.0;0
50;900681625;ENVASES DE TOCANCIPA S.A.S;3;1;11;71;59;4;1777890260.0;261989270.0;1489087630.0;566404130.0;922683500.0;1439840240.0;240639440.0;1210810950.0;550116720.0;660694230.0;0
51;890400869;SURTIDORA DE GAS DEL CARIBE S.A. E.S.P.;2;3;3;15;89;6;8350030660.0;575591970.0;10592958660.0;5628398280.0;4964560380.0;8177456760.0;465870890.0;10298167390.0;5854265750.0;4443901640.0;0
52;890100703;"GRASAS Y ACEITES VEGETALES LIMITADA ""GRACETALES LIMITADA""";3;3;1;5;17;4;2898688160.0;-347100660.0;1745463000.0;2151460460.0;-405997460.0;3471904500.0;-390850350.0;1847129860.0;2105550480.0;-258420620.0;0
53;890300208;ARROCERA LA ESMERALDA SAS;3;4;24;38;19;4;1423776240.0;6298410.0;1103127910.0;752252160.0;350875750.0;63113190.0;25916200.0;1110883050.0;823205180.0;287677870.0;1
54;890922447;CONSTRUCCIONES EL CONDOR S.A;0;0;0;45;91;3;9701854820.0;1151553650.0;23314300990.0;12878466710.0;10435834280.0;6343351240.0;1849087380.0;19921695400.0;10706954280.0;9214741120.0;0
55;890917007;OPTIMA SAS VIVIENDA Y CONSTRUCCION;3;0;0;45;90;3;1892909060.0;58036370.0;3212955420.0;2591019990.0;621935430.0;383988450.0;18040540.0;2676091100.0;2290429010.0;385662090.0;0
56;899999107;EPS'S CONVIDA;1;1;2;7;181;6;51586934753.0;-6650830499.0;13706908119.0;27545624128.0;-13838716009.0;47586095639.0;-3093812152.0;13432155996.0;22620041506.0;-918788551.0;2
57;890304099;HOTELES ESTELAR S.A.;3;4;24;12;139;6;2781492780.0;196547900.0;6425227350.0;2974307800.0;3450919550.0;2696423110.0;175922340.0;6126572240.0;2882479980.0;3244092260.0;0
58;805028991;SURTIFAMILIAR S A;3;4;24;12;117;1;1554489250.0;19586910.0;386946180.0;259138200.0;127807980.0;1604733240.0;28303850.0;350003690.0;235752210.0;114251480.0;1
59;830092963;Superpolo SAS;3;1;11;21;78;4;2246405420.0;143607470.0;2629067030.0;1582066100.0;1047000930.0;1941985510.0;157300230.0;2230035520.0;1252836610.0;977198910.0;0
60;800185295;AMARILO SAS;3;1;2;7;90;3;9264593640.0;406746350.0;24177331050.0;17451848860.0;6725482190.0;10527580570.0;360245230.0;21100261310.0;15906904380.0;5193356930.0;0
61;890924167;CI HERMECO SA;3;0;0;45;36;4;2320887010.0;17734230.0;1191721070.0;930297720.0;261423350.0;2358482350.0;11409300.0;1316271670.0;1061173250.0;255098420.0;0
62;830080672;CEPSA COLOMBIA S A;3;1;2;7;6;5;7785627990.0;2106296550.0;20693212310.0;3883644380.0;16809567930.0;5847382350.0;987730160.0;17355794100.0;4045478570.0;13310315530.0;0
63;890903310;ANHIDRIDOS Y DERIVADOS DE COLOMBIA S.A.S. ANDERCOL;3;0;0;45;47;4;3126172780.0;337296950.0;3586871980.0;1480684780.0;2106187200.0;3203401140.0;161040490.0;3821249160.0;2056621290.0;1764627870.0;0
64;811017000;INTERNACIONAL DE DISTRIBUCIONES DE VESTUARIO DE MODA SAS;3;0;0;39;36;4;6472497660.0;306946620.0;1914480040.0;1476580360.0;437899680.0;5558251650.0;312359480.0;2146763510.0;895810450.0;1250953060.0;0
65;860001697;GASEOSAS LUX S.A.S;3;0;0;45;30;4;7009978160.0;100875540.0;8974127540.0;6024141330.0;2949986210.0;6393329430.0;103020820.0;7966055930.0;4350522570.0;3615533360.0;0
66;860001584;MECANELECTRO SAS;3;1;2;7;118;1;1748846340.0;79595570.0;2044053880.0;901551950.0;1142501930.0;1651637120.0;49385380.0;1903767060.0;840860780.0;1062906280.0;0
67;830508017;FULLCARGA COLOMBIA SAS;3;1;2;7;150;6;3288616470.0;508050.0;115571000.0;78597810.0;36973190.0;3957774360.0;-11508700.0;123416270.0;86951130.0;36465140.0;1
68;891856000;CAPRESOCA E.P.S.;1;6;6;78;183;6;14702713764.0;-1400816156.0;2849387253.0;10159423823.0;-731003657.0;13410961097.0;-450506676.0;3043388395.0;8952608809.0;-5909220414.0;2
69;830031757;DATA TOOLS SA;3;1;2;7;166;6;1478229460.0;101681460.0;903192880.0;442977830.0;460215050.0;1239101080.0;95686050.0;757156400.0;400687600.0;356468800.0;1
70;900320612;SAP COLOMBIA SAS;3;1;2;7;153;6;5707646290.0;-838620850.0;6362938250.0;7200443150.0;-837504900.0;4815043800.0;-411816930.0;4784411160.0;4809945960.0;-25534800.0;0
71;860000898;SKN CARIBECAFE LTDA;3;1;2;7;21;4;2931297670.0;-23493400.0;1631328550.0;1356443810.0;274884740.0;3737128320.0;-25035560.0;1558794560.0;1259604110.0;299190450.0;0
72;811027319;SOCIEDAD DE COMERCIALIZACION INTERNACIONAL BANAFRUT S.A;3;0;0;45;100;1;2155408410.0;-355740.0;840813960.0;775121150.0;65692810.0;2183409300.0;20788720.0;719179440.0;659336140.0;59843300.0;0
73;890907163;COMPAÑIA INDUSTRIAL DE PRODUCTOS AGROPECUARIOS S.A.;3;0;0;6;28;4;3291588930.0;1510150.0;1569516380.0;1316184740.0;253331640.0;3127104870.0;-2556360.0;1317570520.0;1146093460.0;171477060.0;0
74;901009478;VIA 40 EXPRESS S A S;3;1;2;7;91;3;3055670580.0;-107007410.0;4392718090.0;3976800490.0;415917600.0;1654583500.0;83352630.0;1805960430.0;1283935420.0;522025010.0;0
75;860030808;NALCO DE COLOMBIA LTDA;3;1;2;7;53;4;2300813980.0;101003660.0;1329988710.0;664641090.0;665347620.0;2195671760.0;189059460.0;1141550370.0;545867410.0;595682960.0;1
76;811007601;EMI ANTIOQUIA;1;0;0;45;183;6;19167661447.0;3072776759.0;10496598413.0;2180399657.0;8316198756.0;17916253601.0;2846937168.0;11004333401.0;3302916258.0;7701417144.0;0
77;800173155;PRABYC  INGENIEROS  SAS;3;1;2;7;90;3;2139557650.0;52662620.0;7326959230.0;5771761240.0;1555197990.0;4717462880.0;291517680.0;5870938020.0;4368487620.0;1502450400.0;0
78;800096040;COMESTIBLES ALDOR SAS;3;4;24;79;25;4;2073597340.0;35689560.0;1951629930.0;1308516540.0;643113390.0;2017300840.0;30308700.0;1781020810.0;1239184880.0;541835930.0;0
79;830035246;Dell Colombia INC;3;1;2;7;123;1;3833971130.0;34467080.0;2771056410.0;2672983360.0;98073050.0;2722228330.0;-13478810.0;1727901750.0;1676339200.0;51562550.0;0
80;817002510;CARVAJAL PULPA Y PAPEL ZONA FRANCA PERMANENTE ESPECIAL;3;4;7;13;43;4;2963843670.0;406605320.0;1070755260.0;263141660.0;807613600.0;2815428220.0;311991450.0;907993810.0;232098410.0;675895400.0;0
81;832006599;CSS CONSTRUCTORES SA;3;1;11;16;91;3;5794154960.0;1477854440.0;20323564640.0;6744816890.0;13578747750.0;4560104900.0;936486350.0;16962520120.0;6498743140.0;10463776980.0;0
82;900199343;AMERICAS STYRENICS DE COLOMBIA LTDA;3;1;2;7;49;4;3970376020.0;107431480.0;2092584230.0;569088910.0;1523495320.0;3803616370.0;162122370.0;2075781970.0;307274980.0;1768506990.0;0
83;890900115;A LAUMAYER Y COMPAÑIA EXPORTADORES DE CAFE S.A.S.;3;0;0;45;100;1;1535513840.0;8521940.0;603535380.0;469269110.0;134266270.0;1957059550.0;-1518010.0;636761450.0;511178290.0;125583160.0;0
84;860533413;IRCC S.A.S INDUSTRIA DE RESTAURANTES CASUALES S.A.S;3;1;2;7;140;6;3906320610.0;-56266740.0;1984467710.0;1772546540.0;211921170.0;3633303560.0;-86557410.0;1951613350.0;1683728960.0;267884390.0;0
85;817001644;GENFAR SA;3;4;7;76;55;4;3915562610.0;-406443680.0;2913730840.0;1758041600.0;1155689240.0;3946350530.0;202156180.0;3646866060.0;2084733140.0;1562132920.0;0
86;817003055;TECNOFAR TQ S.A.S.;3;4;7;64;55;4;2821043570.0;882704680.0;3747906120.0;571117400.0;3176788720.0;2225907740.0;753124790.0;2458044360.0;640423600.0;1817620760.0;0
87;860031606;DIANA CORPORACION SAS;3;1;2;7;19;4;10805453660.0;6996880.0;6558470520.0;5205197930.0;1353272590.0;10472280340.0;-69944010.0;6020019360.0;4804202840.0;1215816520.0;0
88;891301549;NUTRIENTES AVICOLAS SA;3;4;24;12;3;0;1609172230.0;20462370.0;1693000860.0;1177089810.0;515911050.0;1567333850.0;17853580.0;1449194690.0;993337990.0;455856700.0;0
89;860509514;AUTOGERMANA S.A.S;3;1;2;7;97;1;6149081630.0;152026830.0;4593183900.0;3746955960.0;846227940.0;4886691780.0;93709830.0;4208601040.0;3349883600.0;858717440.0;0
90;830043084;C I CARBOCOQUE S A;3;1;2;7;45;4;3990618180.0;411095790.0;2099077690.0;1447970040.0;651107650.0;2941192860.0;342679800.0;1833118690.0;1449906840.0;383211850.0;0
91;860025639;MITSUBISHI ELECTRIC DE COLOMBIA LTDA;3;1;2;7;95;3;1912910320.0;187793330.0;2071358940.0;880383000.0;1190975940.0;2050397020.0;161427590.0;1467916840.0;850319190.0;617597650.0;0
92;800251440;E.P.S. SANITAS S.A.;1;1;2;7;181;6;339085000000.0;3126143103.0;124588000000.0;103176000000.0;21411780678.0;268385000000.0;-330004781.0;88956144432.0;73870336164.0;15085808268.0;0
93;890900285;COMPAÑIA DE EMPAQUES S A;0;0;0;37;34;4;2105470880.0;110525840.0;4119091140.0;1752873120.0;2366218020.0;1953055850.0;91556100.0;3738263510.0;1615559410.0;2122704100.0;0
94;890901672;CRYSTAL S.A.S.;3;0;0;59;36;4;7280540270.0;76942010.0;6778266760.0;4108467320.0;2669799440.0;6867497500.0;-38101400.0;6809699690.0;4143642260.0;2666057430.0;0
95;860006282;HB ESTRUCTURAS METALICAS S.A.S;3;1;2;7;93;3;1940352720.0;41205880.0;4466173220.0;2056318940.0;2409854280.0;1444286150.0;52795070.0;3997745690.0;1633542010.0;2364203680.0;0
96;890900608;ALMACENES EXITO S A;0;0;0;25;117;1;114445000000.0;2794030000.0;156633000000.0;80136090000.0;76497400000.0;112509000000.0;2177130000.0;159627000000.0;81231340000.0;78395680000.0;0
97;890300431;CABLES DE ENERGIA Y DE TELECOMUNICACIONES S.A.;3;4;24;79;73;4;7446520680.0;-132140050.0;6459950840.0;4813833670.0;1646117170.0;6702571700.0;-94940010.0;6063207220.0;4416465700.0;1646741520.0;0
98;890300292;Laboratorios Baxter S.A.;3;4;24;12;55;4;5885503930.0;765147160.0;7791705220.0;1909920870.0;5881784350.0;5519795970.0;518100620.0;8055803910.0;2119166710.0;5936637200.0;0
99;860530547;MULTIDIMENSIONALES SAS;3;1;2;7;59;4;3587466040.0;-2473050.0;3394792400.0;99.0;247208660.0;3550958280.0;-220671860.0;3534547550.0;3284865840.0;249681710.0;0
100;890922323;AUTOMONTAÑA S.A.S.;3;0;0;45;97;1;1581724850.0;17603060.0;367394080.0;314842270.0;52551810.0;1356034030.0;4054880.0;418582150.0;383633400.0;34948750.0;1
101;817000680;"""FAMILIA DEL PACIFICO S.A.S """;3;4;7;33;43;4;6068514330.0;1296859430.0;4336402700.0;1158821770.0;3177580930.0;6025753620.0;1499877780.0;4577046390.0;1231455320.0;3345591070.0;0
102;860000996;RACAFE & CIA SCA;3;1;2;7;21;4;8050451800.0;64030140.0;3289180120.0;2256456760.0;1032723360.0;8544636140.0;28726100.0;3915892270.0;2863238890.0;1052653380.0;0
103;830022462;ORICA COLOMBIA SAS;3;1;2;7;48;4;1717515280.0;108920360.0;1212163090.0;599133480.0;613029610.0;1529027640.0;94522610.0;946480020.0;278650230.0;667829790.0;0
104;860030380;DHL GLOBAL FORWARDING COLOMBIA S.A.S.;3;1;2;7;138;6;2488038690.0;30679070.0;835829850.0;423213830.0;412616020.0;2531467020.0;-6204990.0;853613690.0;469738440.0;383875250.0;0
105;900192711;CONSTRUCTORA CAPITAL BOGOTA SAS;3;1;2;7;90;3;4190291050.0;414987190.0;10944372810.0;8287132140.0;2657240670.0;3459876640.0;331043270.0;8467367120.0;6090245320.0;2377121800.0;0
106;891000324;GASEOSAS DE CORDOBA S.A.S;3;3;10;46;30;4;4124984110.0;218234080.0;4245104020.0;1221663200.0;3023440820.0;3958021300.0;128016940.0;3961840120.0;718516390.0;3243323730.0;0
107;860000452;MANUFACTURAS ELIOT SAS;3;1;2;7;36;4;6907782340.0;-185317440.0;8079628930.0;4860442870.0;3219186060.0;6478505500.0;32780410.0;8086554290.0;4463700890.0;3622853400.0;0
108;800057310;NEC DE COLOMBIA SA;3;1;2;7;107;1;1697367240.0;20543860.0;1920197490.0;1861374300.0;58823190.0;1693658760.0;-365726160.0;1708170080.0;1646089270.0;62080810.0;0
109;900531210;Cenit Transporte y Logística de Hidrocarburos S.A.S.;3;1;2;7;134;6;67157029150.0;35757526870.0;166649000000.0;17769646350.0;148879000000.0;57803393540.0;29862738300.0;155145000000.0;14418650910.0;140727000000.0;0
110;900112515;REFINERIA DE CARTAGENA S.A.S.;3;3;3;15;46;4;129194000000.0;-8024497160.0;278818000000.0;91215435020.0;187603000000.0;91503394750.0;480946640.0;267796000000.0;86123631100.0;181673000000.0;0
111;800200598;PRODESA Y CIA S.A.;3;1;2;7;90;3;2717786050.0;125062250.0;5509691430.0;4504764280.0;1004927150.0;2718415170.0;186044340.0;5374238230.0;4484517890.0;889720340.0;0
112;900351736;DREAM REST COLOMBIA SAS;3;1;11;47;81;4;1438692530.0;69790750.0;1258789720.0;868821960.0;389967760.0;907403100.0;29367770.0;618217950.0;423299470.0;194918480.0;1
113;800215065;COORDINADORA DE SERVICIOS DE PARQUE CEMENTERIO S.A.S. COORSERPARK S.A.S.;3;1;2;7;185;6;1467837180.0;24845720.0;444376150.0;284021950.0;160354200.0;1257273890.0;8260840.0;362366720.0;241667200.0;120699520.0;1
114;817002676;PAPELES DEL CAUCA S.A.;3;4;7;54;43;4;3476583450.0;181802660.0;3751856300.0;1014275330.0;2737580970.0;2933234810.0;152317410.0;4100643480.0;1346864930.0;2753778550.0;0
115;900585053;TRAFIGURA ENERGY COLOMBIA SAS;3;1;2;7;110;1;5597824400.0;-7286040.0;4222040620.0;4180396210.0;41644410.0;3962470380.0;13898600.0;2029347040.0;1980416590.0;48930450.0;1
116;860002541;CLINICA DE MARLY S A;0;1;2;7;182;6;1857228670.0;228785180.0;3586696480.0;1115235340.0;2471461140.0;1704686190.0;199343290.0;3298418560.0;1026734680.0;2271683880.0;0
117;900226684;C.I BULK TRADING SUR AMERICA S.A.S;3;2;17;22;110;1;2835888670.0;14793190.0;1031013730.0;1055963920.0;-24950190.0;1860453470.0;605310.0;758808620.0;798552000.0;-39743380.0;0
118;860058975;NEXARTE SERVICIOS TEMPORALES S A;3;1;2;7;173;6;2038328280.0;-4173030.0;375087660.0;272519150.0;102568510.0;1812856420.0;2910800.0;318825940.0;219346680.0;99479260.0;1
119;830095213;ORGANIZACIÓN TERPEL S.A.;0;1;2;7;110;1;148794000000.0;1337413500.0;54880956860.0;35254984610.0;19625972250.0;124933000000.0;1952812070.0;38634751480.0;21862121180.0;16772630300.0;0
120;900047822;PETROBRAS COLOMBIA COMBUSTIBLES S.A.;3;1;2;7;110;1;9340786440.0;49287760.0;1751007840.0;621447550.0;1129560290.0;8080985270.0;35516380.0;1536957410.0;456684880.0;1080272530.0;0
121;900677748;Unilever Colombia SCC S.A.S.;3;1;2;7;52;4;9504817110.0;99153380.0;6066759110.0;5334489850.0;732269260.0;7194381690.0;13131320.0;4177070520.0;3543954640.0;633115880.0;0
122;830037248;CODENSA S.A. E.S.P.;2;1;2;7;88;6;50598086680.0;6086408490.0;68246651490.0;40568277950.0;27678373540.0;45415717780.0;6234859510.0;61841857490.0;35353670440.0;26488187050.0;0
123;860000656;HMV INGENIEROS LTDA;3;0;0;45;167;6;1758493390.0;40737020.0;1901622950.0;1036766440.0;864856510.0;2054233520.0;102513890.0;1995541240.0;1166902310.0;828638930.0;0
124;891300513;INGENIO PICHICHI S.A.;3;4;24;12;23;4;2292619760.0;-122226790.0;5338102660.0;2173756920.0;3164345740.0;2609346740.0;90694860.0;3575520460.0;1820664630.0;1754855830.0;0
125;890905627;CASA BRITANICA SA;3;0;0;45;97;1;2691247580.0;14046560.0;1266655330.0;576740980.0;689914350.0;2735004020.0;13010300.0;1357296930.0;681429130.0;675867800.0;1
126;860002536;COMPAÑIA COLOMBIANA DE CERAMICA S.A.S;3;1;2;7;62;4;10899898180.0;-491121770.0;12991524940.0;8055781560.0;4935743380.0;10792459330.0;46058130.0;12555959070.0;7330201540.0;5225757530.0;0
127;860515770;ESTRELLA INTERNATIONAL ENERGY SERVICES SUCURSAL COLOMBIA;3;1;2;7;12;5;1852642170.0;-114967360.0;5299362810.0;2628177310.0;2671185500.0;1460982770.0;-509220680.0;2159139010.0;1621942280.0;537196730.0;0
128;860066942;COMPENSAR;1;1;2;7;165;6;252178000000.0;2368043468.0;117380000000.0;60387291431.0;5699262966.0;216002000000.0;20146288434.0;9057326261.0;47903410094.0;42669852516.0;0
129;800229035;TECNOGLASS S.A.S.;3;3;1;5;60;4;5638919780.0;-95433110.0;7485623520.0;6061244180.0;1424379340.0;4836505600.0;-44979070.0;6945927200.0;5343080150.0;1602847050.0;0
